best_k,n_rows,n_classes,n_features,noise_level
48,3662,3,9,90278.31018281468
47,4751,5,7,114340.0116116808
3,707,4,8,66352.23414944837
30,8136,3,6,100028.73926649203
30,1347,4,9,67680.84946935439
39,7755,5,9,101843.94669575675
39,3679,3,9,81082.34712417574
47,4794,3,4,81361.03862864056
42,4672,4,6,150625.74811917788
41,2214,3,5,81953.77255170792
19,3642,4,5,92223.35072277016
32,2997,5,4,89892.1659564976
17,8526,4,9,96627.84804871905
24,2174,3,6,82531.7147938916
43,7680,5,5,113679.0033431815
40,5313,3,5,92916.52252840372
2,244,4,7,69767.25687426234
8,533,3,6,68446.07562196621
28,6028,4,3,94045.66803092427
18,6004,3,6,99855.38907065064
